# letgoofthepizza/Mistral-7B-v0.1-finetuned-open-korean-instructions

|      Task      |Version| Metric |Value |   |Stderr|
|----------------|------:|--------|-----:|---|-----:|
|kobest_boolq    |      0|acc     |0.5890|±  |0.0131|
|                |       |macro_f1|0.5354|±  |0.0135|
|kobest_copa     |      0|acc     |0.5850|±  |0.0156|
|                |       |macro_f1|0.5845|±  |0.0156|
|kobest_hellaswag|      0|acc     |0.3880|±  |0.0218|
|                |       |acc_norm|0.4680|±  |0.0223|
|                |       |macro_f1|0.3843|±  |0.0216|
|kobest_sentineg |      0|acc     |0.6524|±  |0.0239|
|                |       |macro_f1|0.6229|±  |0.0250|

# mistralai/Mistral-7B-v0.1
|      Task      |Version| Metric |Value |   |Stderr|
|----------------|------:|--------|-----:|---|-----:|
|kobest_boolq    |      0|acc     |0.7037|±  |0.0122|
|                |       |macro_f1|0.6848|±  |0.0128|
|kobest_copa     |      0|acc     |0.5940|±  |0.0155|
|                |       |macro_f1|0.5934|±  |0.0156|
|kobest_hellaswag|      0|acc     |0.4400|±  |0.0222|
|                |       |acc_norm|0.5260|±  |0.0224|
|                |       |macro_f1|0.4366|±  |0.0221|
|kobest_sentineg |      0|acc     |0.5793|±  |0.0248|
|                |       |macro_f1|0.5002|±  |0.0251|

# letgoofthepizza/Llama-2-7b-hf-finetuned-open-korean-instructions
|      Task      |Version| Metric |Value |   |Stderr|
|----------------|------:|--------|-----:|---|-----:|
|kobest_boolq    |      0|acc     |0.5128|±  |0.0133|
|                |       |macro_f1|0.3890|±  |0.0107|
|kobest_copa     |      0|acc     |0.5570|±  |0.0157|
|                |       |macro_f1|0.5563|±  |0.0157|
|kobest_hellaswag|      0|acc     |0.4080|±  |0.0220|
|                |       |acc_norm|0.4760|±  |0.0224|
|                |       |macro_f1|0.4049|±  |0.0219|
|kobest_sentineg |      0|acc     |0.6373|±  |0.0242|
|                |       |macro_f1|0.6279|±  |0.0245|

|      Task      |Version| Metric |Value |   |Stderr|
|----------------|------:|--------|-----:|---|-----:|
|kobest_boolq    |      0|acc     |0.5427|±  |0.0133|
|                |       |macro_f1|0.4502|±  |0.0126|
|kobest_copa     |      0|acc     |0.5720|±  |0.0157|
|                |       |macro_f1|0.5715|±  |0.0156|
|kobest_hellaswag|      0|acc     |0.4260|±  |0.0221|
|                |       |acc_norm|0.5000|±  |0.0224|
|                |       |macro_f1|0.4231|±  |0.0220|
|kobest_sentineg |      0|acc     |0.5919|±  |0.0247|
|                |       |macro_f1|0.5625|±  |0.0253|
